Observação;Data;Mês;Ano - Safra;Preços - Milho;Preços - Soja;
1;02/01/2014;1;2014; R$ 26,64 ; R$ 72,18 ;
2;03/01/2014;1;2014; R$ 27,00 ; R$ 71,42 ;
3;06/01/2014;1;2014; R$ 27,29 ; R$ 71,38 ;
4;07/01/2014;1;2014; R$ 27,49 ; R$ 70,31 ;
5;08/01/2014;1;2014; R$ 27,16 ; R$ 70,14 ;
6;09/01/2014;1;2014; R$ 27,17 ; R$ 68,97 ;
7;10/01/2014;1;2014; R$ 27,17 ; R$ 68,64 ;
8;13/01/2014;1;2014; R$ 27,32 ; R$ 67,59 ;
9;14/01/2014;1;2014; R$ 27,35 ; R$ 67,78 ;
10;15/01/2014;1;2014; R$ 27,30 ; R$ 67,60 ;
11;16/01/2014;1;2014; R$ 27,07 ; R$ 67,77 ;
12;17/01/2014;1;2014; R$ 27,02 ; R$ 67,46 ;
13;20/01/2014;1;2014; R$ 26,81 ; R$ 67,58 ;
14;21/01/2014;1;2014; R$ 26,65 ; R$ 66,55 ;
15;22/01/2014;1;2014; R$ 26,59 ; R$ 65,07 ;
16;23/01/2014;1;2014; R$ 26,47 ; R$ 65,04 ;
17;24/01/2014;1;2014; R$ 26,04 ; R$ 65,02 ;
18;27/01/2014;1;2014; R$ 26,16 ; R$ 65,10 ;
19;28/01/2014;1;2014; R$ 26,24 ; R$ 64,81 ;
20;29/01/2014;1;2014; R$ 26,22 ; R$ 64,31 ;
21;30/01/2014;1;2014; R$ 26,46 ; R$ 64,50 ;
22;31/01/2014;1;2014; R$ 26,65 ; R$ 64,15 ;
23;03/02/2014;2;2014; R$ 26,91 ; R$ 63,93 ;
24;04/02/2014;2;2014; R$ 27,41 ; R$ 64,08 ;
25;05/02/2014;2;2014; R$ 28,06 ; R$ 64,33 ;
26;06/02/2014;2;2014; R$ 28,52 ; R$ 64,35 ;
27;07/02/2014;2;2014; R$ 28,31 ; R$ 64,51 ;
28;10/02/2014;2;2014; R$ 28,37 ; R$ 64,99 ;
29;11/02/2014;2;2014; R$ 28,93 ; R$ 65,52 ;
30;12/02/2014;2;2014; R$ 29,51 ; R$ 65,71 ;
31;13/02/2014;2;2014; R$ 29,70 ; R$ 66,49 ;
32;14/02/2014;2;2014; R$ 30,11 ; R$ 67,76 ;
33;17/02/2014;2;2014; R$ 30,13 ; R$ 67,47 ;
34;18/02/2014;2;2014; R$ 30,96 ; R$ 68,16 ;
35;19/02/2014;2;2014; R$ 31,76 ; R$ 68,39 ;
36;20/02/2014;2;2014; R$ 32,51 ; R$ 68,45 ;
37;21/02/2014;2;2014; R$ 33,13 ; R$ 68,34 ;
38;24/02/2014;2;2014; R$ 33,15 ; R$ 68,53 ;
39;25/02/2014;2;2014; R$ 33,62 ; R$ 68,41 ;
40;26/02/2014;2;2014; R$ 33,74 ; R$ 69,11 ;
41;27/02/2014;2;2014; R$ 33,68 ; R$ 69,73 ;
42;28/02/2014;2;2014; R$ 33,95 ; R$ 69,19 ;
43;05/03/2014;3;2014; R$ 33,85 ; R$ 69,77 ;
44;06/03/2014;3;2014; R$ 33,82 ; R$ 69,49 ;
45;07/03/2014;3;2014; R$ 34,03 ; R$ 70,87 ;
46;10/03/2014;3;2014; R$ 34,16 ; R$ 70,65 ;
47;11/03/2014;3;2014; R$ 34,11 ; R$ 69,89 ;
48;12/03/2014;3;2014; R$ 33,85 ; R$ 68,92 ;
49;13/03/2014;3;2014; R$ 33,64 ; R$ 68,95 ;
50;14/03/2014;3;2014; R$ 33,51 ; R$ 68,74 ;
51;17/03/2014;3;2014; R$ 33,37 ; R$ 68,50 ;
52;18/03/2014;3;2014; R$ 32,97 ; R$ 69,05 ;
53;19/03/2014;3;2014; R$ 32,78 ; R$ 69,18 ;
54;20/03/2014;3;2014; R$ 32,20 ; R$ 69,91 ;
55;21/03/2014;3;2014; R$ 31,90 ; R$ 68,64 ;
56;24/03/2014;3;2014; R$ 31,97 ; R$ 68,14 ;
57;25/03/2014;3;2014; R$ 31,88 ; R$ 67,52 ;
58;26/03/2014;3;2014; R$ 31,55 ; R$ 67,58 ;
59;27/03/2014;3;2014; R$ 31,67 ; R$ 67,18 ;
60;28/03/2014;3;2014; R$ 31,44 ; R$ 66,57 ;
61;31/03/2014;3;2014; R$ 31,34 ; R$ 67,24 ;
62;01/04/2014;4;2014; R$ 31,32 ; R$ 68,34 ;
63;02/04/2014;4;2014; R$ 31,26 ; R$ 68,36 ;
64;03/04/2014;4;2014; R$ 31,29 ; R$ 68,66 ;
65;04/04/2014;4;2014; R$ 31,33 ; R$ 67,81 ;
66;07/04/2014;4;2014; R$ 31,24 ; R$ 67,52 ;
67;08/04/2014;4;2014; R$ 31,28 ; R$ 66,46 ;
68;09/04/2014;4;2014; R$ 31,44 ; R$ 67,34 ;
69;10/04/2014;4;2014; R$ 31,28 ; R$ 66,80 ;
70;11/04/2014;4;2014; R$ 31,32 ; R$ 66,39 ;
71;14/04/2014;4;2014; R$ 31,26 ; R$ 66,32 ;
72;15/04/2014;4;2014; R$ 31,53 ; R$ 68,16 ;
73;16/04/2014;4;2014; R$ 31,32 ; R$ 69,27 ;
74;17/04/2014;4;2014; R$ 31,18 ; R$ 68,84 ;
75;22/04/2014;4;2014; R$ 31,56 ; R$ 68,15 ;
76;23/04/2014;4;2014; R$ 31,33 ; R$ 67,47 ;
77;24/04/2014;4;2014; R$ 31,01 ; R$ 66,83 ;
78;25/04/2014;4;2014; R$ 30,95 ; R$ 67,81 ;
79;28/04/2014;4;2014; R$ 30,73 ; R$ 68,90 ;
80;29/04/2014;4;2014; R$ 30,48 ; R$ 69,29 ;
81;30/04/2014;4;2014; R$ 30,49 ; R$ 69,11 ;
82;02/05/2014;5;2014; R$ 30,40 ; R$ 67,07 ;
83;05/05/2014;5;2014; R$ 30,39 ; R$ 66,92 ;
84;06/05/2014;5;2014; R$ 30,34 ; R$ 66,39 ;
85;07/05/2014;5;2014; R$ 29,62 ; R$ 66,56 ;
86;08/05/2014;5;2014; R$ 29,54 ; R$ 67,29 ;
87;09/05/2014;5;2014; R$ 29,41 ; R$ 67,53 ;
88;12/05/2014;5;2014; R$ 29,48 ; R$ 67,42 ;
89;13/05/2014;5;2014; R$ 28,85 ; R$ 67,30 ;
90;14/05/2014;5;2014; R$ 28,96 ; R$ 67,43 ;
91;15/05/2014;5;2014; R$ 28,75 ; R$ 67,62 ;
92;16/05/2014;5;2014; R$ 28,35 ; R$ 67,28 ;
93;19/05/2014;5;2014; R$ 28,43 ; R$ 67,41 ;
94;20/05/2014;5;2014; R$ 28,02 ; R$ 68,38 ;
95;21/05/2014;5;2014; R$ 28,01 ; R$ 68,27 ;
96;22/05/2014;5;2014; R$ 27,95 ; R$ 69,20 ;
97;23/05/2014;5;2014; R$ 28,00 ; R$ 68,80 ;
98;26/05/2014;5;2014; R$ 27,88 ; R$ 68,93 ;
99;27/05/2014;5;2014; R$ 27,88 ; R$ 68,58 ;
100;28/05/2014;5;2014; R$ 28,03 ; R$ 68,69 ;
101;29/05/2014;5;2014; R$ 27,74 ; R$ 68,51 ;
102;30/05/2014;5;2014; R$ 27,71 ; R$ 68,48 ;
103;02/06/2014;6;2014; R$ 27,78 ; R$ 69,05 ;
104;03/06/2014;6;2014; R$ 27,71 ; R$ 68,95 ;
105;04/06/2014;6;2014; R$ 27,33 ; R$ 69,30 ;
106;05/06/2014;6;2014; R$ 27,28 ; R$ 69,02 ;
107;06/06/2014;6;2014; R$ 27,11 ; R$ 68,31 ;
108;09/06/2014;6;2014; R$ 27,03 ; R$ 67,38 ;
109;10/06/2014;6;2014; R$ 26,87 ; R$ 67,69 ;
110;11/06/2014;6;2014; R$ 26,67 ; R$ 67,59 ;
111;12/06/2014;6;2014; R$ 26,66 ; R$ 67,52 ;
112;13/06/2014;6;2014; R$ 26,42 ; R$ 66,84 ;
113;16/06/2014;6;2014; R$ 26,24 ; R$ 66,82 ;
114;17/06/2014;6;2014; R$ 26,23 ; R$ 66,54 ;
115;18/06/2014;6;2014; R$ 25,93 ; R$ 66,65 ;
116;20/06/2014;6;2014; R$ 25,90 ; R$ 66,97 ;
117;23/06/2014;6;2014; R$ 25,91 ; R$ 67,06 ;
118;24/06/2014;6;2014; R$ 25,52 ; R$ 66,84 ;
119;25/06/2014;6;2014; R$ 25,48 ; R$ 67,02 ;
120;26/06/2014;6;2014; R$ 25,18 ; R$ 67,38 ;
121;27/06/2014;6;2014; R$ 25,16 ; R$ 67,52 ;
122;30/06/2014;6;2014; R$ 25,16 ; R$ 66,33 ;
123;01/07/2014;7;2014; R$ 24,46 ; R$ 65,23 ;
124;02/07/2014;7;2014; R$ 24,89 ; R$ 66,35 ;
125;03/07/2014;7;2014; R$ 24,66 ; R$ 65,82 ;
126;04/07/2014;7;2014; R$ 24,73 ; R$ 66,29 ;
127;07/07/2014;7;2014; R$ 24,39 ; R$ 64,90 ;
128;08/07/2014;7;2014; R$ 24,48 ; R$ 64,84 ;
129;10/07/2014;7;2014; R$ 24,35 ; R$ 64,63 ;
130;11/07/2014;7;2014; R$ 24,28 ; R$ 63,66 ;
131;14/07/2014;7;2014; R$ 23,98 ; R$ 62,73 ;
132;15/07/2014;7;2014; R$ 23,91 ; R$ 61,82 ;
133;16/07/2014;7;2014; R$ 23,84 ; R$ 62,13 ;
134;17/07/2014;7;2014; R$ 23,55 ; R$ 62,76 ;
135;18/07/2014;7;2014; R$ 23,43 ; R$ 62,02 ;
136;21/07/2014;7;2014; R$ 23,10 ; R$ 61,94 ;
137;22/07/2014;7;2014; R$ 22,99 ; R$ 61,83 ;
138;23/07/2014;7;2014; R$ 22,88 ; R$ 62,21 ;
139;24/07/2014;7;2014; R$ 22,91 ; R$ 63,19 ;
140;25/07/2014;7;2014; R$ 22,71 ; R$ 63,02 ;
141;28/07/2014;7;2014; R$ 22,77 ; R$ 63,74 ;
142;29/07/2014;7;2014; R$ 22,69 ; R$ 63,95 ;
143;30/07/2014;7;2014; R$ 22,73 ; R$ 63,79 ;
144;31/07/2014;7;2014; R$ 22,73 ; R$ 63,89 ;
145;01/08/2014;8;2014; R$ 22,93 ; R$ 63,93 ;
146;04/08/2014;8;2014; R$ 22,88 ; R$ 63,41 ;
147;05/08/2014;8;2014; R$ 22,72 ; R$ 62,98 ;
148;06/08/2014;8;2014; R$ 23,20 ; R$ 63,61 ;
149;07/08/2014;8;2014; R$ 23,41 ; R$ 63,49 ;
150;08/08/2014;8;2014; R$ 23,22 ; R$ 63,92 ;
151;11/08/2014;8;2014; R$ 23,21 ; R$ 64,14 ;
152;12/08/2014;8;2014; R$ 23,21 ; R$ 63,37 ;
153;13/08/2014;8;2014; R$ 23,10 ; R$ 63,18 ;
154;14/08/2014;8;2014; R$ 22,97 ; R$ 63,21 ;
155;15/08/2014;8;2014; R$ 22,91 ; R$ 63,59 ;
156;18/08/2014;8;2014; R$ 22,85 ; R$ 63,56 ;
157;19/08/2014;8;2014; R$ 22,80 ; R$ 63,20 ;
158;20/08/2014;8;2014; R$ 22,79 ; R$ 63,77 ;
159;21/08/2014;8;2014; R$ 22,66 ; R$ 63,73 ;
160;22/08/2014;8;2014; R$ 22,64 ; R$ 64,25 ;
161;25/08/2014;8;2014; R$ 22,73 ; R$ 63,89 ;
162;26/08/2014;8;2014; R$ 22,82 ; R$ 63,21 ;
163;27/08/2014;8;2014; R$ 22,79 ; R$ 62,95 ;
164;28/08/2014;8;2014; R$ 22,65 ; R$ 62,76 ;
165;29/08/2014;8;2014; R$ 22,59 ; R$ 62,33 ;
166;01/09/2014;9;2014; R$ 22,51 ; R$ 62,02 ;
167;02/09/2014;9;2014; R$ 22,31 ; R$ 61,71 ;
168;03/09/2014;9;2014; R$ 22,22 ; R$ 60,81 ;
169;04/09/2014;9;2014; R$ 21,93 ; R$ 58,96 ;
170;05/09/2014;9;2014; R$ 21,93 ; R$ 59,35 ;
171;08/09/2014;9;2014; R$ 21,87 ; R$ 59,10 ;
172;09/09/2014;9;2014; R$ 21,76 ; R$ 58,69 ;
173;10/09/2014;9;2014; R$ 21,80 ; R$ 58,69 ;
174;11/09/2014;9;2014; R$ 21,98 ; R$ 57,69 ;
175;12/09/2014;9;2014; R$ 21,84 ; R$ 57,90 ;
176;15/09/2014;9;2014; R$ 21,99 ; R$ 57,90 ;
177;16/09/2014;9;2014; R$ 21,89 ; R$ 58,33 ;
178;17/09/2014;9;2014; R$ 22,03 ; R$ 58,20 ;
179;18/09/2014;9;2014; R$ 21,99 ; R$ 58,33 ;
180;19/09/2014;9;2014; R$ 21,94 ; R$ 58,78 ;
181;22/09/2014;9;2014; R$ 21,95 ; R$ 58,28 ;
182;23/09/2014;9;2014; R$ 22,10 ; R$ 58,35 ;
183;24/09/2014;9;2014; R$ 22,09 ; R$ 58,70 ;
184;25/09/2014;9;2014; R$ 22,11 ; R$ 58,59 ;
185;26/09/2014;9;2014; R$ 22,11 ; R$ 58,51 ;
186;29/09/2014;9;2014; R$ 22,16 ; R$ 58,48 ;
187;30/09/2014;9;2014; R$ 22,02 ; R$ 59,24 ;
188;01/10/2014;10;2014; R$ 21,78 ; R$ 58,70 ;
189;02/10/2014;10;2014; R$ 21,91 ; R$ 58,75 ;
190;03/10/2014;10;2014; R$ 21,98 ; R$ 58,59 ;
191;06/10/2014;10;2014; R$ 21,94 ; R$ 58,27 ;
192;07/10/2014;10;2014; R$ 21,79 ; R$ 58,27 ;
193;08/10/2014;10;2014; R$ 22,04 ; R$ 58,21 ;
194;09/10/2014;10;2014; R$ 22,07 ; R$ 57,92 ;
195;10/10/2014;10;2014; R$ 22,00 ; R$ 58,13 ;
196;13/10/2014;10;2014; R$ 22,39 ; R$ 57,85 ;
197;14/10/2014;10;2014; R$ 22,87 ; R$ 58,72 ;
198;15/10/2014;10;2014; R$ 22,78 ; R$ 59,21 ;
199;16/10/2014;10;2014; R$ 22,82 ; R$ 59,37 ;
200;17/10/2014;10;2014; R$ 23,74 ; R$ 59,09 ;
201;20/10/2014;10;2014; R$ 23,83 ; R$ 59,04 ;
202;21/10/2014;10;2014; R$ 24,57 ; R$ 59,52 ;
203;22/10/2014;10;2014; R$ 24,66 ; R$ 60,29 ;
204;23/10/2014;10;2014; R$ 24,96 ; R$ 60,67 ;
205;24/10/2014;10;2014; R$ 25,10 ; R$ 60,98 ;
206;27/10/2014;10;2014; R$ 25,37 ; R$ 61,23 ;
207;28/10/2014;10;2014; R$ 25,99 ; R$ 62,15 ;
208;29/10/2014;10;2014; R$ 26,17 ; R$ 62,02 ;
209;30/10/2014;10;2014; R$ 26,35 ; R$ 61,92 ;
210;31/10/2014;10;2014; R$ 26,21 ; R$ 61,45 ;
211;03/11/2014;11;2014; R$ 26,53 ; R$ 62,47 ;
212;04/11/2014;11;2014; R$ 26,44 ; R$ 62,54 ;
213;05/11/2014;11;2014; R$ 26,77 ; R$ 62,46 ;
214;06/11/2014;11;2014; R$ 26,58 ; R$ 62,69 ;
215;07/11/2014;11;2014; R$ 26,81 ; R$ 63,46 ;
216;10/11/2014;11;2014; R$ 26,93 ; R$ 63,45 ;
217;11/11/2014;11;2014; R$ 27,29 ; R$ 63,45 ;
218;12/11/2014;11;2014; R$ 27,77 ; R$ 63,91 ;
219;13/11/2014;11;2014; R$ 27,55 ; R$ 64,81 ;
220;14/11/2014;11;2014; R$ 27,84 ; R$ 64,54 ;
221;17/11/2014;11;2014; R$ 27,92 ; R$ 63,82 ;
222;18/11/2014;11;2014; R$ 28,58 ; R$ 63,17 ;
223;19/11/2014;11;2014; R$ 28,75 ; R$ 62,32 ;
224;20/11/2014;11;2014; R$ 28,40 ; R$ 61,65 ;
225;21/11/2014;11;2014; R$ 28,36 ; R$ 62,37 ;
226;24/11/2014;11;2014; R$ 28,69 ; R$ 62,31 ;
227;25/11/2014;11;2014; R$ 28,43 ; R$ 62,39 ;
228;26/11/2014;11;2014; R$ 28,07 ; R$ 62,73 ;
229;27/11/2014;11;2014; R$ 27,93 ; R$ 62,47 ;
230;28/11/2014;11;2014; R$ 27,52 ; R$ 63,14 ;
231;01/12/2014;12;2014; R$ 27,10 ; R$ 62,06 ;
232;02/12/2014;12;2014; R$ 26,76 ; R$ 62,65 ;
233;03/12/2014;12;2014; R$ 26,78 ; R$ 62,03 ;
234;04/12/2014;12;2014; R$ 26,71 ; R$ 61,83 ;
235;05/12/2014;12;2014; R$ 26,61 ; R$ 62,07 ;
236;08/12/2014;12;2014; R$ 26,69 ; R$ 62,14 ;
237;09/12/2014;12;2014; R$ 26,74 ; R$ 62,40 ;
238;10/12/2014;12;2014; R$ 26,95 ; R$ 62,80 ;
239;11/12/2014;12;2014; R$ 27,24 ; R$ 62,87 ;
240;12/12/2014;12;2014; R$ 27,44 ; R$ 62,99 ;
241;15/12/2014;12;2014; R$ 27,93 ; R$ 62,68 ;
242;16/12/2014;12;2014; R$ 28,11 ; R$ 63,10 ;
243;17/12/2014;12;2014; R$ 28,09 ; R$ 62,64 ;
244;18/12/2014;12;2014; R$ 28,40 ; R$ 62,56 ;
245;19/12/2014;12;2014; R$ 28,49 ; R$ 62,21 ;
246;22/12/2014;12;2014; R$ 28,54 ; R$ 62,29 ;
247;23/12/2014;12;2014; R$ 28,67 ; R$ 62,45 ;
248;26/12/2014;12;2014; R$ 28,66 ; R$ 62,31 ;
249;29/12/2014;12;2014; R$ 28,72 ; R$ 62,30 ;
